award category,award name,award source link,award_year,awardee_name,gender,affiliation,country,affiliation_source,comment
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2019,Karl Grieshop,M,University of Toronto,Canada,award website,only first affiliation counted (second from Sweden)
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2018,Siobhan O’Brien,F,ETH Zurich,Switzerland,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2017,Amanda Kyle Gibson,F,Emory University,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2016,E. Keith Bowers,M,University of Memphis,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2015,Matthew Hartfield,M,University of Toronto,Canada,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2014,Laurie Stevison,F,Auburn University,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2013,Rich FitzJohn,M,Macquarie University,Australia,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2012,Tanja Stadler,F,ETH Zurich,Switzerland,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2011,Rowan Barrett,M,Harvard University,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2009,Tanja Schwander,F,Simon Fraser University,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2007,Andy Gardner,M,University of Oxford,UK,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2005,Daven Presgraves,M,University of Rochester,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2003,Patricia Beldade,F,University of California at Irvine,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,2001,Alexander Badyaev,M,Auburn University,USA,award website,
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,1999,Nicolas Galtier,M,University of Edinburgh,UK,award website,only first affiliation counted (second from France)
BR,John Maynard Smith Prize,https://eseb.org/prizes-funding/john-maynard-smith-prize/,1997,Marie-Charlotte Anstett,F,CNRS-CEFE,France,award website,
BR,President's Award,https://eseb.org/prizes-funding/presidents-award/,2018,Loeske Kruuk,F,Australian National University,Australia,https://biology.anu.edu.au/people/visitors/loeske-kruuk,affiliation not listed on the award website
