"","Award","Flexible_eligibility","Self_nomination","Letter_not_required","Inclusivity_statement","Assessors_transparency","Process_transparency","Criteria_transparency","Open_science","Feedback_availability"
"1","MolBiolEvol / SMBE Best Graduate Student Paper","X","V","X","X","X","X","X","X","X"
"2","GenomeBiolEvol / SMBE Best Graduate Student Paper","X","V","X","X","X","X","X","X","X"
"3","any journal / ESA George Mercer Award","X","?","X","X","V","X","X","X","X"
"4","JEvolutionBiol / ESEB Stearns Graduate Student Prize","X","V","V","X","V","X","X","X","X"
"5","Evolution / SSE Outstanding Dissertation Award","V","V","X","X","X","X","X","X","X"
"6","AmNat / ASN Student Paper Award","V","X","V","X","V","X","X","X","X"
"7","MethodsEcolEvol / BES Robert May Prize","V","V","V","X","V","X","X","X","X"
"8","FunctEcol / BES Haldane ECR Award","V","V","V","X","V","X","X","X","X"
"9","EcolLett / CNRS ECR Award","X","V","V","X","V","X","X","X","X"
"10","JExpBiol / CoB Outstanding Paper Prize","X","V","V","X","X","X","X","X","X"
